Date,Year,Area,Location,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,Hemisphere,Formated Date,Month
19-Apr-16,2016.0,New South Wales,"First Sun Beach, Byron Bay",Unprovoked,Australia,Swimming,M,12.0,Minor puncture wound to foot,N,Wobbegong shark,S,2016-04-19 00:00:00.000000,4.0
18-Apr-16,2016.0,Tuamotos,Makemo Atoll,Provoked,French Polynesia,Fishing,M,26.0,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,"Grey reef shark, 2 m",N,2016-04-18 00:00:00.000000,4.0
13-Apr-16,2016.0,Florida,"Off Singer Island, Palm Beach County",Unprovoked,United States,Fishing,M,26.0,Multiple bites to right arm,N,"Bull shark, 7'",N,2016-04-13 00:00:00.000000,4.0
09-Apr-16,2016.0,Grand Terre,Poe Beach,Unprovoked,New Caledonia,Other,F,69.0,FATAL,Y,"Tiger shark, 2.5 m",N,2016-04-09 00:00:00.000000,4.0
08-Apr-16,2016.0,Boa Vista Island,,Invalid,Cape Verde,Other,M,60.0,"""Serious""",N,Shark involvement not confirmed,N,2016-04-08 00:00:00.000000,4.0
07-Apr-16,2016.0,Florida,"Florida Keys, Monroe County",Unprovoked,United States,Fishing,M,34.0,Left hand bitten,N,5' to 6' shark,N,2016-04-07 00:00:00.000000,4.0
07-Apr-16,2016.0,Florida,"Corners Beach, Jupiter, Palm Beach County",Invalid,United States,Other,M,,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,Unknown,N,2016-04-07 00:00:00.000000,4.0
31-Mar-16,2016.0,Hawaii,"Olowalu, Maui",Unprovoked,United States,Other,F,46.0,Minor injury to left foot,N,Unknown,N,2016-03-31 00:00:00.000000,3.0
30-Mar-16,2016.0,New South Wales,Bombo Beach,Unprovoked,Australia,Surfing,M,22.0,Severe injury to thigh,N,Unknown,S,2016-03-30 00:00:00.000000,3.0
28-Mar-16,2016.0,Florida,"Fort Myers Beach, Lee County",Unprovoked,United States,Other,M,15.0,Minor injury to arm. Possibly caused by smalll nurse shark,N,Shark involvement not confirmed,N,2016-03-28 00:00:00.000000,3.0
28-Mar-16,2016.0,New South Wales,North Cronulla Beach,Unprovoked,Australia,Surfing,M,41.0,"No injury, board dented",N,Unknown,S,2016-03-28 00:00:00.000000,3.0
26-Mar-16,2016.0,,,Provoked,Bahamas,Other,M,9.0,Minor injury to chest PROVOKED INCIDENT,N,"Nurse shark, 2.5-ft",N,2016-03-26 00:00:00.000000,3.0
13-Mar-16,2016.0,California,"Bolsa Chica State Park, Orange County",Invalid,United States,Surfing,,,Board reportedly bumped by shark. No injury,N,Shark involvement not confirmed,N,2016-03-13 00:00:00.000000,3.0
11-Mar-16,2016.0,Florida,"Vero Beach, St. Lucie County",Unprovoked,United States,Surfing,M,19.0,Lacerations to right foot and ankle,N,Unknown,N,2016-03-11 00:00:00.000000,3.0
10-Mar-16,2016.0,Vanua Levu,,Unprovoked,Fiji,Diving,M,45.0,FATAL,Y,Unknown,S,2016-03-10 00:00:00.000000,3.0
04-Mar-16,2016.0,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unprovoked,United States,Other,M,12.0,Superficial injury to foot,N,Unknown,N,2016-03-04 00:00:00.000000,3.0
Reported 03-Mar-2016,2016.0,South Australia,Wrights Bay,Unprovoked,Australia,Fishing,M,,Puncture wounds to right calf,N,Bronze whaler,S,2016-03-03 00:00:00.000000,3.0
02-Mar-16,2016.0,Santa Catarina State,Escalerio Beach Balneário Camboriú,Unprovoked,Brazil,Swimming,M,41.0,Minor injury to head,N,Sandtiger shark,S,2016-03-02 00:00:00.000000,3.0
22-Feb-16,2016.0,South Province,"Ricaudy Reef, Noumea",Unprovoked,New Caledonia,Surfing,M,21.0,Puncture wounds to right thigh,N,Unknown,N,2016-02-22 00:00:00.000000,2.0
 19-Feb-2016,2016.0,South Province,Yate,Unprovoked,New Caledonia,Fishing,M,31.0,Forearm bitten,N,Unknown,N,2016-02-19 00:00:00.000000,2.0
12-Feb-16,2016.0,Altagracia Province,"Bavaro Beach, Punta Cana",Unprovoked,Dominican Republic,Wading,F,,Avulsion injury to lower leg,N,Unknown,N,2016-02-12 00:00:00.000000,2.0
Reported 10-Feb-2016,2016.0,Grand Cayman,Stingray City Bar,Invalid,Cayman Islands,Other,M,65.0,Minor injury to wrist from Southern stingray,N,No shark involvement,N,2016-02-10 00:00:00.000000,2.0
10-Feb-16,2016.0,Tasmania,Nettley Bay,Invalid,Australia,Surfing,M,,"No injury, knocked off board",N,No shark involvement,S,2016-02-10 00:00:00.000000,2.0
05-Feb-16,2016.0,Queensland,Stradbroke Island,Unprovoked,Australia,Other,F,45.0,Foot nipped,N,Unknown,S,2016-02-05 00:00:00.000000,2.0
04-Feb-16,2016.0,New South Wales,Hams Beach,Unprovoked,Australia,Surfing,M,40.0,"No injury, shark bit board",N,Unknown,S,2016-02-04 00:00:00.000000,2.0
29-Jan-16,2016.0,KwaZulu-Natal,,Boat,South Africa,Fishing,M,,"No injury, shark capsized kayak",N,Unknown,S,2016-01-29 00:00:00.000000,1.0
